Area,Company,Location,Survey,Contact,In Service,Work Order,Technician,Date,Target Current,AF Taps/Rheo,AF Voltage,AF  Amps,AF Circuit #1 Amps,AF Circuit #2 Amps,AF Circuit #3 Amps,AL Taps/Rheo,AL Voltage,AL Amps,AL Circuit #1 Amps,AL Circuit #2 Amps,AL Circuit #3 Amps,Circuit Resistance,Deficiency,In target,Materials Used,Notes,Model,Serial No,Rectifier 1=poor 5= good ,Anodes 1=poor 5= good,Requires Replacement,Rectifie Anode info
Drayton Valley,Obsidian,11-22-49-12 W5M,Rat Creek (Brazeau),K Titanich,TRUE,220260944,LG,20-Oct-22,,Curcuit 4-6,,,0.1,0.8,0.6,Curcuit 4-6,,,0.1,0.8,0.6,--,FALSE,FALSE,,Suspect anodes are depleteing,,,3,1,FALSE,Keyera owned  
Drayton Valley,Obsidian,16-35-48-12 W5M,Rat Creek (Brazeau),K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,11-11-49-12 W5M,Rat Creek (Brazeau) ,K Titanich,True ,220260944,LG,20-Oct-22,14.0 - 16.0,B1,13.7,13.9,,,,B1,13.7,13.9,,,,0.99,FALSE,FALSE,,Oct 2022 - Header upgrade in progress,,,5,5,FALSE,"Newer rectifier - active sites, Anodes good"
Drayton Valley,Obsidian,06-16-47-08 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,4.0 - 6.0,70%,35.3,2,,,,70%,35.3,2,,,,17.65,FALSE,FALSE,,"June 2022, Adjust closer to target",,,3,2,FALSE,"Older rectifier-good, New anodes - river gravel bed"
Drayton Valley,Obsidian,08-15-47-08 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,15.0 - 17.0,B3,22,16,,,,B3,22,16,,,,1.38,FALSE,TRUE,,Max Rectifier Rating 22A,,,3,3,FALSE,"Older rectifier-good, Site OOS, anodes good"
Drayton Valley,Obsidian,08-34-46-08 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,6.0 - 8.0,B1,10.3,7.2,,,,B1,10.3,7.2,,,,1.43,FALSE,TRUE,,,,,4,3,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,11-11-47-08 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,28.0 - 30.0,C5,43.2,28.5,,,,C5,43.2,28.5,,,,1.52,FALSE,TRUE,,,,,4,2,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,14-31-46-07 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,7.0 - 9.0,B4,12.5,7.6,,,,B4,12.5,7.6,,,,1.64,FALSE,TRUE,,,,,4,3,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,14-32-46-07 W5M,Rosecreek,Morley James ,TRUE,220261921,LG,18-Oct-22,2.5 - 3.5,C1,6.6,1.8,,,,C1,6.6,1.8,,,,3.67,TRUE,FALSE,,"Oct 2022 - Partial AC to rectifier,OBE to send electrician to check AC fuses",,,5,2,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,03-02-50-06 W5M,Tomahawk,Morley James ,TRUE,220261928,LG,18-Oct-22,7.0 - 8.0,C2,9.9,8.4,,,,C2,9.9,8.4,,,,1.18,FALSE,FALSE,,,,,4,4,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,04-27-50-06 W5M,Tomahawk,Morley James ,TRUE,220261928,LG,18-Oct-22,2.0 - 3.0,A3,4.4,3.1,1,2.1,,A3,4.4,3.1,1,2.1,,1.42,FALSE,FALSE,,Combo 0427,,,4,4,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,07-25-47-09 W5M,Violet Grove,Morley James ,TRUE,220261931,LG,20-Oct-22,2.0 - 4.0,B1,3.1,0.9,,,,B1,3.1,0.9,,,,3.44,TRUE,FALSE,,"Oct 2022 - Partial AC to rectifier,OBE to send electrician to check AC fuses",,,4,3,FALSE,"Newer rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,08-28-47-08 W5M,Violet Grove,Morley James ,TRUE,220261931,LG,12-Oct-22,18.0 - 20.0,B3,14.2,19.2,,,,B3,14.2,19.2,,,,0.74,FALSE,TRUE,,,,,5,5,FALSE,"Newer rectifier - active sites, Anodes good"
Drayton Valley,Obsidian,08-30-47-08 W5M,Violet Grove,Morley James ,TRUE,220261931,LG,12-Oct-22,10.0 - 12.0,B2,12.7,11.1,,,,B2,12.7,11.1,,,,1.14,FALSE,TRUE,,,,,5,5,FALSE,"Newer rectifier - active sites, Anodes good"
Drayton Valley,Obsidian,15-16-47-08 W5M,Violet Grove,Morley James ,TRUE,220261931,LG,12-Oct-22,4.0 - 6.0,C2,24.5,4.1,,,,C1,24.5,4.1,,,,5.98,FALSE,TRUE,,,,,5,2,FALSE,"Older rectifier-good, anodes fair - river gravel bed"
Drayton Valley,Obsidian,15-31-47-08 W5M,Violet Grove,Morley James ,FALSE,220261931,,,,,,,,,,,,,,,,--,FALSE,,,Rectifier Available ,,,Rectifier ,N/A,FALSE,Rectifier available 
Drayton Valley,Obsidian,16-27-47-08 W5M,Violet Grove,Morley James ,TRUE,220261931,LG,12-Oct-22,3.0 - 4.0,A5,0,0,,,,A5,0,0,,,,--,TRUE,FALSE,,Oct 2022 - Site vandalized again. No AC supply to site. CTL/OBE to review potential for anodes only to protect F/L's at OOS site,,,2,3,FALSE,May put site OOS and use anodes
